japanese,english
準備は整いましたか？,Are you ready?
ロボットが正しく動作しているか確認しましたか？,Did you check if the robot is working correctly?
制限時間を守るように注意してください。,Please be mindful of the time limit.
次のラウンドの準備をお願いします。,Please prepare for the next round.
この部分を修正する必要があります。,This part needs to be fixed.
ロボットのプログラムを再確認しましょう。,Let's review the robot's program.
バッテリーの残量は十分ですか？,Is the battery sufficiently charged?
相手チームに敬意を持って接しましょう。,Show respect to the opposing team.
審査員の指示に従ってください。,Please follow the judges' instructions.
ルールを再確認しておいてください。,Please double-check the rules.
競技中に何か問題があれば手を挙げてください。,Raise your hand if there is any problem during the competition.
この戦略は非常に効果的ですね。,This strategy is very effective.
ロボットが予期せぬ動きをしています。,The robot is behaving unexpectedly.
チームワークが鍵です。,Teamwork is key.
次の試合に向けて作戦を立てましょう。,Let's plan for the next match.
エンジニアリングノートを提出してください。,Please submit your engineering notebook.
時間配分をしっかり管理しましょう。,Manage your time well.
ロボットのセンサーが正確に作動していますか？,Are the robot's sensors functioning accurately?
他のチームのロボットを観察して学びましょう。,Observe and learn from other teams' robots.
ロボットの動きをデモンストレーションしてください。,Please demonstrate the robot's movement.
結果発表まで少々お待ちください。,Please wait for the results to be announced.
安全に気をつけて作業してください。,Be careful and work safely.
競技を楽しんでください！,Enjoy the competition!
全力を尽くして競技に臨んでください。,Give your best effort in the competition.
ロボットの速度を調整する必要があります。,The robot's speed needs adjustment.
プログラムのエラーを修正してください。,Please fix the program errors.
チームの皆さん、お疲れ様でした。,"Good job, team."
次回のために改善点をメモしておきましょう。,Let's note down improvements for the next time.
結果は公平に判断されます。,The results will be judged fairly.
参加してくれてありがとう！,Thank you for participating!
